ride_id,customer_id,driver_id,pickup_location,drop_location,city,ride_date,ride_time,ride_status,payment_status,ride_distance_km,ride_duration_min,ride_fare,payment_method
38,1526,595,24210 Russell Tunnel Apt. 366,012 Melissa Haven Apt. 618,Hyderabad,2025-01-16,17:53:32,Completed,Pending,9.83,25,457.79,UPI
39,1316,205,34484 Edward Tunnel,633 Herring Circle,Chennai,2025-02-10,09:32:50,Completed,Pending,3.83,10,239.75,Card
40,1641,879,992 Fuller River,7963 Travis Streets,Kolkata,2025-02-28,09:56:10,Ongoing,Paid,12.9,9,411.56,Card
41,57,768,874 Melissa Junctions Apt. 934,06825 Tiffany Vista Suite 995,Mumbai,2025-02-20,11:47:40,Ongoing,Paid,14.63,23,416.2,Wallet
42,101,690,5482 Sandra Burgs Suite 708,077 Salazar Pines Apt. 986,Hyderabad,2025-02-16,18:18:25,Cancelled,Paid,7.16,41,379.72,Wallet
43,1147,153,333 Rebecca Gateway,6720 Harvey Courts Suite 556,Bangalore,2025-01-11,16:24:16,Completed,Paid,11.38,12,425,UPI
44,74,681,767 Morton Village,81135 James Gateway Suite 726,Pune,2025-01-21,17:12:14,Ongoing,Failed,10.8,40,237.13,Cash
45,267,240,3428 Kevin Mountains Apt. 072,8729 Jacqueline Grove Suite 591,Chennai,2025-01-21,10:19:33,Completed,Paid,12.16,28,258.02,UPI
46,1429,84,9488 Brown Vista,3764 Torres Common Apt. 879,Delhi,2025-02-26,22:31:03,Cancelled,Paid,5.35,17,266.51,Wallet
47,13,745,8241 Macdonald Inlet Suite 554,7298 Lauren Courts,Bangalore,2025-01-29,11:44:09,Cancelled,Pending,3.97,38,129.32,Cash
48,408,386,8749 Austin Burg,8277 Hardy Divide Suite 751,Mumbai,2025-01-08,09:27:47,Ongoing,Failed,2.59,12,273.52,Wallet
49,1363,686,622 Anderson Summit,25856 Donald Drive,Hyderabad,2025-03-02,05:56:01,Cancelled,Paid,1.68,7,72.52,Wallet
50,566,279,35544 Lewis Flats,32599 Tina Place,Delhi,2025-02-11,12:12:57,Completed,Failed,7.77,16,47.05,Card
51,501,283,015 Penny Square Apt. 074,33049 Combs Spurs Apt. 623,Delhi,2025-02-11,00:07:38,Cancelled,Pending,6.98,14,176.91,Cash
52,665,804,82499 Erickson Fork Apt. 723,719 Porter Knoll Apt. 383,Kolkata,2025-01-04,23:49:32,Completed,Paid,8.47,45,40.16,Cash
53,1407,716,7920 Jessica Drive,651 Paul Stream,Pune,2025-02-06,10:13:11,Cancelled,Pending,13,42,204.9,Card
54,88,553,0691 Andrew Station,023 Christina Neck,Delhi,2025-01-03,07:44:53,Cancelled,Pending,3.73,36,186.1,Cash
55,895,97,690 Sean Centers Suite 586,911 Susan Skyway,Chennai,2025-02-22,13:36:46,Cancelled,Pending,4.65,9,498.63,UPI
56,386,422,14076 Sierra Hollow,6907 Callahan Station Suite 952,Kolkata,2025-02-02,00:52:21,Ongoing,Pending,5.32,30,167.19,Card
57,212,501,626 Leonard River,521 Rebecca Drive,Delhi,2025-02-26,11:02:28,Cancelled,Pending,14.18,15,192.32,UPI
58,1577,613,89514 Houston Creek Apt. 131,3273 Bradley Mountain Suite 362,Mumbai,2025-02-10,22:44:47,Completed,Paid,7.77,12,480.15,Card
59,174,877,481 Cooper Inlet,637 Bauer Plaza,Chennai,2025-01-19,11:38:56,Ongoing,Paid,2.43,40,58.76,Card
60,957,4,814 Kelly Harbors Apt. 772,260 Melissa Parkways,Pune,2025-02-03,21:24:38,Ongoing,Pending,7.4,45,488.03,Cash
61,1605,137,2748 Wilkinson Pass,316 Tricia Mountains,Pune,2025-01-18,05:40:27,Ongoing,Paid,6.62,5,215.07,Cash
62,1770,102,16699 Clayton Stream Apt. 193,5949 April Spring,Hyderabad,2025-02-28,11:48:45,Cancelled,Pending,2.31,41,403.72,Wallet
63,739,338,325 Christian Ferry,93244 Mark Center Suite 184,Chennai,2025-01-24,17:44:55,Cancelled,Failed,8.89,41,346.16,Cash
64,205,876,9685 Cindy Ridges Apt. 667,579 Wilson Square Apt. 179,Delhi,2025-03-03,19:11:10,Cancelled,Pending,6.57,14,474.25,Cash
65,10,988,1376 Johnson Highway,70725 Clark Crossing Apt. 037,Mumbai,2025-01-21,02:37:13,Cancelled,Failed,5.31,21,38.74,Card
66,625,733,153 Michael Crescent Apt. 828,12592 Amanda Branch,Chennai,2025-02-12,15:12:28,Ongoing,Pending,12.52,39,159.88,Card
67,576,993,48265 Daniel Glens Suite 457,5018 Clark Street,Delhi,2025-02-28,19:51:36,Cancelled,Failed,11.5,15,302.15,Wallet
68,140,487,2908 Gonzalez Lodge,281 Barr Pines Suite 212,Hyderabad,2025-01-05,00:45:31,Cancelled,Failed,1.38,7,494.45,Wallet
69,1250,397,6777 Bass Neck,6096 Jessica Viaduct,Bangalore,2025-01-12,22:25:39,Ongoing,Paid,9.12,21,252.68,UPI
70,86,749,065 Tara Glens,39992 Toni Freeway Apt. 283,Kolkata,2025-02-22,05:01:18,Cancelled,Pending,13.51,12,76.9,Cash
71,1122,714,506 Hamilton Drive Suite 079,3281 Kirby Brook,Mumbai,2025-01-25,23:46:30,Cancelled,Paid,6.74,11,275.29,UPI
72,1905,124,22338 Courtney Key,968 Schroeder Spurs Apt. 088,Kolkata,2025-02-08,10:57:14,Cancelled,Paid,5.54,31,262.4,Cash
73,672,991,43225 Tamara Locks Suite 481,333 Christopher Corners,Kolkata,2025-02-14,06:52:16,Completed,Failed,13.97,15,91.29,Wallet
74,420,459,15596 Bush Pike Suite 408,00151 Fields Island,Chennai,2025-01-16,05:22:54,Ongoing,Paid,14.18,27,209.27,Card
75,791,855,547 Edwards Road Suite 214,95507 Kristen Manors,Hyderabad,2025-01-13,02:14:44,Cancelled,Pending,7.19,24,458.9,Card
76,1837,963,444 Megan Passage Apt. 315,31751 Byrd Gardens,Pune,2025-01-17,16:09:54,Completed,Paid,13.13,14,91.77,UPI
77,465,531,0749 Shawn Cliff,88451 Bowers Ville,Chennai,2025-02-20,09:17:36,Cancelled,Paid,6.3,16,317.17,Cash
78,609,369,37463 Knight Gateway Apt. 790,084 Elizabeth Forks,Mumbai,2025-02-08,15:03:26,Ongoing,Failed,4.81,22,419.08,Wallet
79,946,271,985 Waters Cove Suite 961,1635 Kline Camp,Pune,2025-02-24,11:44:32,Cancelled,Failed,1.69,19,125.5,Card
80,1708,915,287 Brown View Apt. 115,528 Stewart Lake Apt. 038,Chennai,2025-02-22,22:44:22,Completed,Pending,12.86,40,39.39,UPI
81,370,708,082 Moss Inlet Suite 881,73560 Glenn Radial Apt. 588,Chennai,2025-01-08,09:06:42,Cancelled,Failed,14.95,40,217.39,Card
82,1241,619,458 King Corners,13915 Weaver Glen,Delhi,2025-02-08,22:30:18,Cancelled,Paid,9.02,28,464.71,Card
83,1502,747,9875 Lewis Trace,624 Matthew Island Apt. 844,Delhi,2025-01-18,09:13:45,Completed,Failed,3.91,33,163.97,Card
84,683,820,2609 Zachary Extensions,618 Moore Village Suite 214,Hyderabad,2025-02-06,06:51:46,Ongoing,Failed,13.11,10,481.03,Cash
85,834,971,9368 Donna Valleys,7167 Bradley Roads,Hyderabad,2025-02-24,03:39:08,Cancelled,Paid,14.74,7,442.64,Wallet
86,521,331,49042 Jones Lodge,6728 Thompson Parks,Mumbai,2025-02-20,02:09:01,Completed,Paid,8.33,33,314.05,Wallet
87,682,412,499 Harris Forks,1269 Charles Mission,Kolkata,2025-02-25,21:12:06,Cancelled,Paid,12.41,35,47.83,Card
88,1502,616,2631 Joyce Courts,89147 Lawrence Trafficway Apt. 105,Hyderabad,2025-02-22,07:58:57,Completed,Paid,12.67,28,430.45,Cash
89,1486,630,7505 Aaron Light Suite 500,63412 Lucero Wall Suite 458,Hyderabad,2025-02-13,13:26:42,Cancelled,Failed,12.8,12,488.87,Cash
90,227,52,9961 John Circle,40226 Cheyenne Forest Apt. 351,Chennai,2025-01-27,08:44:11,Completed,Failed,3.52,30,43.36,UPI
91,1214,509,48023 Sheila Fork,360 Sanchez Lakes Apt. 073,Hyderabad,2025-01-28,10:22:10,Cancelled,Pending,14.45,18,104.55,Card
92,455,288,7003 Daisy Isle Apt. 583,456 Livingston Flats,Kolkata,2025-03-03,07:12:33,Ongoing,Pending,14.85,14,425.67,UPI
93,191,132,03623 Dave Trail,37895 Shaffer Overpass,Chennai,2025-02-11,08:06:39,Ongoing,Pending,12.27,11,208.93,Wallet
94,1986,281,78093 Ortiz Harbor,6216 Stacey Knoll,Pune,2025-02-04,10:35:07,Ongoing,Paid,6.46,13,401.64,UPI
95,111,846,22229 Joseph Overpass Apt. 844,917 French Bypass,Kolkata,2025-02-15,10:13:21,Ongoing,Failed,5.49,11,333.01,Wallet
96,1460,77,912 Tara Brooks,2810 Richards Cove,Kolkata,2025-02-25,18:58:45,Ongoing,Failed,6.46,9,191.7,Wallet
97,1207,794,1344 Lauren Summit,288 John Freeway Apt. 729,Delhi,2025-02-01,18:37:37,Completed,Paid,4.61,40,315.24,Cash
98,64,573,0826 Charles Heights,632 Huffman Stream,Hyderabad,2025-01-11,21:28:48,Ongoing,Failed,10.66,17,123.98,Card
99,606,131,250 Jeffrey Lights Suite 751,36460 Melissa Extensions Suite 466,Pune,2025-01-20,16:33:31,Ongoing,Paid,8.35,13,38.22,Wallet
100,181,848,349 Smith Rapids,4515 Smith Estates Suite 375,Pune,2025-02-06,05:10:11,Cancelled,Pending,12.1,28,314.61,Cash
101,731,632,980 Megan Court,8466 Kim Stream Apt. 320,Delhi,2025-03-03,20:58:54,Cancelled,Failed,1.16,45,422.37,UPI
102,1406,583,64008 Hall Drives,9429 Sharon Ford,Bangalore,2025-02-15,21:21:25,Completed,Paid,2.34,26,186.69,UPI
103,1175,915,122 Brandy Rue Suite 235,8737 Hensley Glens,Hyderabad,2025-02-24,08:12:34,Cancelled,Failed,8.38,37,362.33,Cash
104,1398,97,82179 Cynthia Mall Suite 013,67679 Huynh Isle Suite 816,Mumbai,2025-01-04,02:17:11,Cancelled,Paid,10.63,42,47.66,Wallet
105,1905,71,4481 Wade Cliffs,5173 Walter Drive Suite 136,Kolkata,2025-02-16,03:16:24,Cancelled,Paid,3.19,29,289,Cash
106,1186,809,7406 Jonathan Parkway Apt. 715,512 Murphy Light Apt. 304,Kolkata,2025-01-30,07:15:46,Ongoing,Pending,1.13,26,477.04,UPI
107,1577,893,900 Phelps Throughway Apt. 284,547 Hickman Trace,Delhi,2025-01-21,16:59:08,Ongoing,Pending,14.9,41,360.11,Wallet
108,143,190,489 Todd Views,584 Valerie Creek,Delhi,2025-02-04,06:35:20,Completed,Failed,13.66,28,494.78,Cash
109,8,936,11603 Crystal Square,9460 John Ports,Mumbai,2025-02-28,15:17:08,Ongoing,Failed,13.26,38,481.73,Wallet
110,1257,272,87145 Weiss Groves,00989 Allen Summit,Mumbai,2025-02-03,19:28:59,Ongoing,Paid,9.28,5,285.08,Wallet
111,1011,440,751 Mcdowell View,889 Oconnor Mountain,Kolkata,2025-02-26,06:17:30,Completed,Failed,10.85,26,354.7,UPI
112,304,834,5125 Shannon Trace,303 Dawn Key,Pune,2025-01-25,13:52:36,Completed,Failed,11.75,24,120.19,UPI
113,1059,854,5186 Williams Passage Suite 689,77823 Sarah Summit,Hyderabad,2025-02-24,15:57:21,Ongoing,Paid,6.91,21,427.25,Cash
114,1522,130,7552 Gross Shore,94199 Nguyen Glen Suite 920,Mumbai,2025-03-01,04:47:08,Completed,Paid,1.62,30,307.68,Card
115,1727,73,544 Mackenzie Wall,03240 Perez Bypass,Hyderabad,2025-02-23,08:46:43,Completed,Failed,3.05,30,445.71,UPI
116,1767,693,457 Charles Springs,565 Morgan Mountains Apt. 772,Hyderabad,2025-01-03,22:32:28,Ongoing,Failed,13.74,32,346.85,UPI
117,118,700,906 Courtney Stream,85547 Ho Unions Apt. 352,Pune,2025-02-25,23:02:25,Ongoing,Pending,7.14,11,290.12,Cash
118,585,810,1996 Martinez Station,6265 Wang Canyon,Kolkata,2025-01-09,04:42:02,Ongoing,Failed,14.14,8,479.5,Card
119,1155,47,4668 Smith Roads,2334 Adams Stream Apt. 428,Bangalore,2025-01-19,02:36:41,Cancelled,Pending,11.31,40,494.72,Card
120,928,88,2207 Jaime Cape Suite 115,980 Raymond Meadow,Pune,2025-01-08,08:40:50,Cancelled,Pending,7.85,38,220.38,UPI
121,1000,499,9580 Brian Parks,5437 Melendez Shoals,Pune,2025-03-01,06:58:54,Completed,Failed,6.04,39,203.76,Card
122,750,395,43826 Raymond Via Apt. 016,65029 Nunez Plains Suite 023,Bangalore,2025-02-01,10:37:19,Completed,Paid,10.87,35,65.7,UPI
123,1738,223,18438 Hopkins Squares Apt. 068,346 Spencer Throughway Apt. 188,Kolkata,2025-01-23,13:36:02,Cancelled,Paid,6.85,20,347.63,Cash
124,933,488,04655 Dawn Dam Suite 023,886 Brown Mall Apt. 155,Mumbai,2025-01-29,10:47:55,Completed,Pending,6.99,40,456.5,Card
125,561,680,23941 Rivers Key Apt. 301,27331 Mendez Mews Apt. 375,Pune,2025-02-10,05:47:25,Completed,Pending,13.16,12,292.01,Card
126,484,959,4586 Autumn Green,906 Scott Lakes,Chennai,2025-01-02,20:33:01,Ongoing,Pending,3.68,42,437.65,Card
127,861,246,7190 Mason Orchard,5014 Rogers Trafficway,Mumbai,2025-01-03,01:57:34,Ongoing,Paid,9.61,7,132.97,Cash
128,724,673,7441 Kirby Shoals,0057 Williams Lights Suite 463,Hyderabad,2025-01-13,03:58:28,Cancelled,Pending,8.53,34,183.73,Wallet
129,990,174,1165 Krueger Ridges,6482 Kevin Estate Apt. 419,Hyderabad,2025-03-01,23:45:44,Ongoing,Pending,5.76,30,318.94,UPI
130,1208,185,69748 Lawrence Isle Apt. 452,166 James Crescent Apt. 517,Kolkata,2025-01-02,13:30:23,Cancelled,Failed,9.62,12,499.86,Wallet
131,930,817,5459 Young Roads Suite 282,6348 Bautista Bypass,Chennai,2025-02-21,23:24:58,Ongoing,Pending,1.71,43,225.09,Card
132,1971,632,9842 Mariah Club Suite 364,5684 Wallace Walk Apt. 565,Bangalore,2025-01-20,15:42:38,Completed,Failed,11.82,7,379.61,Cash
133,1139,7,8404 Brett Road Apt. 684,62277 Carter Stravenue,Pune,2025-03-02,20:32:11,Ongoing,Paid,11.58,14,466.44,UPI
134,60,742,7736 Cuevas Fort,6403 Taylor Court Apt. 915,Hyderabad,2025-02-19,05:55:00,Completed,Failed,11.38,32,272.93,UPI
135,1487,989,807 Julie Inlet Suite 077,609 Pruitt Heights Apt. 415,Mumbai,2025-02-28,22:38:25,Completed,Failed,6.62,29,456.48,Wallet
136,1035,939,7726 Estrada Cliffs Suite 788,488 Anderson Cliff Suite 539,Mumbai,2025-01-10,21:00:23,Completed,Paid,6.37,19,499.12,Card
137,1835,988,2960 Linda Unions Suite 264,94110 Brandi Trail Apt. 784,Chennai,2025-02-01,12:20:13,Cancelled,Pending,6.41,12,169.54,UPI
138,1320,584,994 Anderson Lodge Suite 702,2456 Henry Brook Apt. 787,Bangalore,2025-02-04,18:57:59,Cancelled,Pending,12.8,30,117.6,UPI
139,344,529,4316 Julie Forges Apt. 090,657 Alexander Glens Apt. 667,Pune,2025-02-27,06:52:55,Completed,Failed,3.49,31,459.13,Cash
140,970,705,915 Carrie Crescent Suite 759,20757 Sullivan Land,Hyderabad,2025-01-24,01:23:38,Cancelled,Pending,3.71,11,332.23,Card
141,233,728,134 Peterson Loop Suite 803,4894 Keith Causeway Apt. 576,Mumbai,2025-02-03,17:22:19,Completed,Failed,14.65,44,237.57,UPI
142,230,143,811 Terry Highway,625 Jeffrey Forge,Kolkata,2025-02-21,04:51:17,Completed,Pending,6.06,44,439.19,Card
143,809,783,011 Weaver Flats Apt. 916,016 Thomas Creek,Delhi,2025-01-01,18:33:49,Ongoing,Failed,6.7,26,296.84,UPI
144,589,14,7534 Chambers Mountains Apt. 488,130 Holly Greens,Mumbai,2025-01-10,00:25:22,Completed,Paid,7.96,19,374.71,UPI
145,143,845,57256 Mcintosh Common Suite 788,63751 Wilkinson Field,Pune,2025-01-14,12:35:20,Cancelled,Pending,1.83,18,376.07,Cash
146,1782,801,097 Powell Lakes,3331 Kelly Inlet,Kolkata,2025-02-28,23:58:45,Completed,Failed,8.76,34,127.59,Cash
147,625,289,86527 Elizabeth Prairie Apt. 505,925 Karen Isle,Kolkata,2025-02-28,09:26:49,Completed,Pending,14.53,39,249.2,UPI
148,1920,773,3895 Nguyen Light,549 Margaret Park Apt. 022,Pune,2025-01-29,21:14:07,Ongoing,Pending,8.7,23,429.16,Card
149,913,664,272 Singh Light,697 Angelica Burgs Suite 092,Bangalore,2025-01-14,17:41:45,Ongoing,Pending,6.37,25,38.15,Card
150,699,380,934 Campbell Highway,6967 Brown Loop,Delhi,2025-03-01,10:58:09,Completed,Failed,1.27,36,499.02,Wallet
151,1335,25,29143 Johnson Terrace Apt. 079,7986 Caldwell Drives,Bangalore,2025-01-13,21:14:39,Completed,Failed,1.26,38,465.89,Wallet
152,1315,905,58123 Shepherd Greens,88261 Fred Wall Suite 893,Pune,2025-02-24,05:38:18,Ongoing,Failed,12.86,43,108.99,Wallet
153,1694,974,49200 Sanchez Ranch Apt. 757,233 Lisa Parkway,Chennai,2025-01-09,07:14:14,Ongoing,Failed,2.31,41,262.81,Card
154,1290,966,178 Danielle Rue Apt. 566,377 Harvey Rest Suite 869,Chennai,2025-02-12,21:15:48,Ongoing,Failed,3.51,22,446.12,Card
155,823,943,7058 Gutierrez Trail,6871 Briana Brook,Kolkata,2025-02-06,18:11:39,Completed,Failed,4.65,39,135.67,Wallet
156,1563,356,62907 Harris Pine,81460 Stephen Manor Suite 137,Bangalore,2025-02-17,17:15:59,Ongoing,Paid,2.35,10,212.35,Wallet
157,638,260,689 Nicholas Locks,0995 Elliott Islands,Mumbai,2025-02-13,15:40:16,Completed,Paid,8.62,14,183.86,Card
158,340,948,23588 Peters Harbor Apt. 249,7952 Gonzalez Hills,Hyderabad,2025-02-28,17:18:18,Cancelled,Paid,7.2,25,389.34,Cash
159,1993,531,285 Jon Lock,4184 Bryan Estate,Mumbai,2025-03-03,07:50:26,Ongoing,Failed,13.03,40,332.89,UPI
160,1,132,4928 Dwayne Underpass Apt. 053,11327 Golden Spur,Kolkata,2025-01-08,12:25:25,Ongoing,Failed,12.49,39,206.13,Cash
161,408,456,9096 Mark Row,537 Mitchell Roads,Delhi,2025-02-10,18:24:52,Completed,Pending,2.95,22,223.44,Card
162,447,381,956 Cooper Wells,23037 Gonzales Fords,Mumbai,2025-01-21,04:30:42,Ongoing,Failed,8.18,7,433.84,Wallet
163,277,399,058 Nolan Ranch Suite 066,751 Kevin Branch,Mumbai,2025-02-27,19:25:00,Cancelled,Paid,6.42,32,166.19,Card
164,103,81,77233 Mcclure Drives Apt. 960,026 Debra Coves Suite 385,Bangalore,2025-02-25,08:16:09,Completed,Pending,13.11,11,184.49,Card
165,1491,141,960 Charles Village,050 Carpenter Trail Suite 310,Pune,2025-02-16,03:49:14,Ongoing,Failed,6.46,41,368.77,Card
166,1427,615,3187 Fisher Row Suite 411,7614 Davis Causeway Apt. 939,Pune,2025-02-09,15:26:33,Completed,Pending,1.84,44,33.23,Cash
167,1477,296,1465 Patterson Loop,953 Murray Hollow Suite 718,Hyderabad,2025-01-11,00:21:33,Cancelled,Failed,10.25,16,384.34,Card
168,1690,466,62064 Laura Lake,529 Barnes Camp,Mumbai,2025-02-11,06:17:18,Cancelled,Failed,5.58,11,192.33,UPI
169,1424,917,169 Michael Island,063 Ortiz Street Suite 633,Pune,2025-02-14,11:37:33,Completed,Pending,10.44,5,364.49,Wallet
170,1913,99,05070 Long Mills,61250 Williams Rest Suite 424,Mumbai,2025-01-18,23:26:20,Ongoing,Failed,1.01,9,171.31,Wallet
171,927,136,668 Christine Roads Apt. 397,22007 Sanchez Spur,Chennai,2025-01-28,08:16:34,Completed,Paid,12.76,30,381.48,Wallet
172,1934,54,041 Walker Squares,10447 Jamie Avenue Apt. 595,Bangalore,2025-02-25,07:56:09,Cancelled,Paid,12.87,15,228.05,Wallet
173,932,793,72402 Tara Corner,45161 Anthony Mill Apt. 442,Kolkata,2025-01-16,00:50:05,Completed,Pending,12.92,31,443.92,Cash
174,151,712,42244 Grant Islands Suite 085,458 Mills Causeway,Pune,2025-02-28,20:43:06,Cancelled,Failed,12.28,7,306.88,UPI
175,1438,471,64078 Stewart Rest Suite 011,6079 Jessica Rapid,Pune,2025-01-24,07:23:38,Cancelled,Paid,2.49,26,298.84,Card
176,1240,762,4788 Amber Crossroad,4888 Washington Cliff Apt. 342,Delhi,2025-02-13,00:41:35,Completed,Failed,4.67,26,462.2,Wallet
177,1448,199,52288 Robin Hills,26177 Shelly Key Suite 773,Mumbai,2025-01-25,03:32:30,Completed,Pending,3.63,27,411.21,Card
178,574,628,6733 Sarah Well,46175 Kendra Ports,Mumbai,2025-03-03,23:04:55,Ongoing,Paid,8.28,8,401.55,Card
179,167,906,2906 Ashley Pines Apt. 408,055 William Walks Apt. 679,Bangalore,2025-02-25,22:25:44,Cancelled,Failed,8.35,15,70.9,Wallet
180,186,665,72993 Jessica Shoal,688 James Falls,Pune,2025-02-05,19:23:45,Completed,Failed,11.53,31,415.21,UPI
181,949,614,7499 Curry Streets Apt. 496,49004 Walker Key Apt. 331,Chennai,2025-01-04,19:04:49,Cancelled,Paid,1.6,41,145,Wallet
182,107,138,1217 Amy Mills Apt. 906,8984 Park Isle Suite 775,Delhi,2025-01-15,01:53:26,Completed,Failed,10.2,8,323.94,UPI
183,394,408,8005 Eric Square Suite 889,024 Robert Stream Apt. 703,Kolkata,2025-02-05,08:33:32,Ongoing,Failed,1.08,40,74.31,Wallet
184,607,67,949 Arroyo Glens,07993 Chad Groves,Hyderabad,2025-02-14,07:25:35,Completed,Failed,7.54,25,171.39,UPI
185,1321,141,078 Andrea Trafficway,5803 Amy Islands,Pune,2025-02-19,06:19:02,Ongoing,Failed,14.29,45,72.03,Cash
186,598,810,46990 Norris Place,10657 Reed Lock Suite 910,Chennai,2025-02-07,18:39:28,Ongoing,Failed,5.06,24,154.09,Card
