customer_id,customer_name,phone_number,email,gender,age,registration_date,total_rides,total_spent
217,Megan Horton,001-948-092-1493,jensenrichard@gmail.com,Male,54,2023-01-02,61,9014.41
218,Jeffrey Taylor,293.300.3880,dakota55@perez.com,Male,22,2021-01-14,41,32182.01
219,Chad Williams,352-898-8774x08619,julieconley@hotmail.com,Female,36,2021-07-15,3,18091.32
220,Jeremy Ford,001-259-951-7236,davisheather@thomas.net,Female,40,2022-01-17,51,18720.03
221,Michelle Maxwell,381.067.8146x1066,ywilliams@hotmail.com,Male,41,2024-05-02,22,40166.94
222,Nicholas Bray,001-073-008-3699x2238,heather51@walton.com,Female,60,2024-07-30,32,7556.84
223,Hector Richards,(666)803-5342x47933,michael44@clarke.com,Female,42,2024-04-22,45,13669.56
224,Bryan Green,001-549-291-2220x5825,william94@buckley-fry.com,Other,23,2021-10-29,41,46383.94
225,Jamie Leonard,138-409-3994,bonniequinn@lynn-gonzalez.com,Female,49,2024-02-06,70,37531.31
226,Lindsey Lee,001-228-401-3627,gbailey@hotmail.com,Other,32,2021-12-05,74,1630.25
227,Lauren Smith,+1-355-322-2664,joanna09@hotmail.com,Male,37,2022-08-06,94,11420.61
228,Billy Hill,(980)588-3668x1589,xmurphy@simmons-gutierrez.org,Other,43,2021-02-12,23,25218.15
229,Mary Gibson,001-281-693-0078,anthonyjohnson@may.net,Female,18,2025-02-04,21,42993.93
230,Mr. Jesus Chen,+1-217-483-8587,xmckee@villanueva.com,Other,32,2022-02-13,46,44532.13
231,Christopher Munoz,502.378.9138,pthornton@hotmail.com,Other,57,2021-01-03,71,33478.6
232,Amanda Smith,739.840.0322x48584,meghanwilliams@hotmail.com,Female,48,2023-07-10,40,35896.71
233,Courtney Jackson,826-760-9961,floyddaniel@mclaughlin.net,Male,60,2020-10-13,37,36590.64
234,Amy Wilson,170-179-4955x64746,holly09@garcia.com,Female,43,2020-07-09,46,12628.58
235,Darryl Brown IV,(064)636-9067x08885,warrenlori@todd-ortiz.com,Male,50,2025-02-05,66,1052.17
236,William Bruce,5868998573,swilliams@hotmail.com,Female,45,2020-04-25,1,37962.1
237,Cynthia White,419.087.0132x1420,lopezpatrick@campbell.com,Other,31,2024-03-02,49,1599.14
238,Andrew Huber,(206)810-1800,chelsea85@olsen.org,Male,46,2025-02-22,57,22831.11
239,Christina Moore,0568605216,nicholasbanks@gmail.com,Male,33,2023-06-01,48,45611.47
240,Kristin Whitney,275.313.8261,dberry@yahoo.com,Female,44,2024-05-29,12,6829.59
241,Erin Norton,395.619.5064x339,robert97@hotmail.com,Female,18,2024-01-17,13,41037.36
242,Amber Paul,001-523-371-5442x415,nelsonjohn@moss.com,Male,49,2023-09-23,99,31664.78
243,William Jackson,(632)421-7563,alexismcgee@hotmail.com,Male,38,2024-12-08,29,40620.09
244,Terri Cox,579.197.7477x1209,flopez@hotmail.com,Male,47,2024-01-25,28,5638.77
245,Kylie Blake,(005)592-8330x6375,james24@yahoo.com,Other,60,2022-10-13,23,43057.76
246,Jennifer Davis,+1-909-634-9083x291,abigail83@mendoza.com,Male,45,2022-01-23,30,25079.29
247,Thomas Hernandez,7733503916,lgarcia@gomez.com,Female,29,2020-10-02,27,14991.16
248,Diana Taylor,936.756.8030x643,vbond@ramsey.com,Other,28,2020-08-07,70,16599.79
249,Gina Khan,+1-876-580-2747x43376,thomaswilliamson@robinson.net,Other,26,2023-07-08,49,11441.44
250,Kevin Smith,001-444-192-1233,jonesmark@yahoo.com,Male,42,2021-08-20,25,46208
251,Michael Tran,681.105.0685,knielsen@hotmail.com,Other,30,2023-02-18,49,6491.84
252,Robert Conrad,001-833-176-5634x389,jacobfinley@gmail.com,Female,32,2024-04-11,14,3920.42
253,Carrie Parks,6472614488,hahnkaylee@knox-logan.net,Female,22,2024-09-06,62,30757.13
254,Kristen Smith,406.621.0703,melissa45@pitts-martinez.info,Male,39,2021-04-01,30,31717.08
255,Kathy Boyd,584.913.7477,kari87@reyes-brewer.com,Male,59,2024-03-23,27,31909.75
256,Patrick Smith,001-399-850-4175,debra96@daugherty.net,Female,58,2022-12-28,76,46174.88
257,Nina Villanueva,007.698.0737x35306,yorkwhitney@le.com,Other,46,2020-11-09,64,17741.84
258,James Mann,(004)115-9744x324,christopher96@yahoo.com,Other,46,2024-03-04,61,14485.23
259,Cheryl Spence,5709132006,wooddonna@mclaughlin-shepard.com,Male,23,2024-06-04,61,38128.34
260,Michael Meyers,001-237-075-4776,james21@hotmail.com,Female,48,2022-01-27,73,22961.63
261,Allison Hicks,020.367.4704x4860,susandiaz@coleman.biz,Female,29,2022-11-24,5,34859.18
262,Christopher Taylor,731-045-5963,simonlauren@yahoo.com,Female,33,2023-01-08,92,46914.41
263,Mary Hodges,(162)356-1205x8955,christinashaw@price.com,Other,55,2023-07-02,52,17447.91
264,Beth Young,939.175.0546x57348,chelsey70@duncan.biz,Other,56,2020-04-11,4,30599.75
265,Kyle Brown,(882)273-3397,ericmoran@yahoo.com,Male,50,2022-03-10,69,16089.68
266,Tracy Perez DDS,861.737.8317x7083,danasims@gmail.com,Male,55,2024-06-03,34,32082.61
267,Willie Conley,342.486.6893x1819,christopher69@gmail.com,Female,32,2021-07-06,6,3079.47
268,Nicholas Harrison,(252)959-2153,iheath@peterson.com,Male,32,2020-02-05,38,43232.91
269,Brian Weiss,001-293-400-2350x103,fitzgeraldjeff@hotmail.com,Male,31,2024-08-25,13,40756.7
